rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,engagement_efficiency,likes_per_post_check
1,cristiano,92,3300.0,475800000.0,8700000.0,1.39,6500000.0,29000000000.0,Spain,0.01828499369482976,8787878.787878787
2,kyliejenner,91,6900.0,366200000.0,8300000.000000001,1.62,5900000.0,57400000000.0,United States,0.02266521026761333,8318840.579710145
3,leomessi,90,890.0,357300000.0,6800000.0,1.24,4400000.0,6000000000.0,Unknown,0.01903162608452281,6741573.0337078655
4,selenagomez,93,1800.0,342700000.0,6200000.0,0.97,3300000.0,11500000000.0,United States,0.01809162532827546,6388888.888888889
5,therock,91,6800.0,334100000.0,1900000.0,0.2,665300.0,12500000000.0,United States,0.005686920083807243,1838235.294117647
6,kimkardashian,91,5600.0,329200000.0,3500000.0,0.88,2900000.0,19900000000.0,United States,0.0106318347509113,3553571.4285714286
7,arianagrande,92,5000.0,327700000.0,3700000.0,1.2,3900000.0,18400000000.0,United States,0.011290814769606347,3680000.0
8,beyonce,92,2000.0,272800000.0,3600000.0,0.76,2000000.0,7400000000.0,United States,0.013196480938416423,3700000.0
9,khloekardashian,89,4100.0,268300000.0,2400000.0,0.35,926900.0,9800000000.0,United States,0.008945210585165859,2390243.9024390243
10,justinbieber,91,7400.0,254500000.0,1900000.0,0.59,1500000.0,13900000000.0,Canada,0.007465618860510805,1878378.3783783785
11,kendalljenner,90,660.0,254000000.0,5500000.0,2.04,5100000.0,3700000000.0,United States,0.021653543307086614,5606060.606060606
12,natgeo,91,10000.0,237000000.0,302200.0,0.07,159300.0,3000000000.0,United States,0.0012751054852320675,300000.0
13,nike,90,950.0,234100000.0,329000.0,0.08,181800.0,313600000.0,United States,0.0014053823152498932,330105.2631578947
14,taylorswift,91,530.0,222200000.0,2400000.0,1.01,2300000.0,1300000000.0,United States,0.010801080108010801,2452830.1886792453
15,jlo,89,3200.0,220400000.0,1700000.0,0.62,1400000.0,5300000000.0,United States,0.007713248638838476,1656250.0
16,virat.kohli,87,1400.0,211800000.0,3500000.0,0.96,2000000.0,4900000000.0,Unknown,0.016525023607176583,3500000.0
17,nickiminaj,90,6400.0,201600000.0,2100000.0,0.53,1000000.0,13500000000.0,United States,0.010416666666666666,2109375.0
18,kourtneykardash,89,4400.0,195200000.0,1800000.0,0.67,1300000.0,7700000000.0,United States,0.009221311475409836,1750000.0
19,mileycyrus,89,1200.0,181500000.0,1300000.0,0.51,913600.0,1600000000.0,Unknown,0.007162534435261708,1333333.3333333333
20,neymarjr,90,5300.0,177100000.0,2700000.0,1.09,1900000.0,14100000000.0,Brazil,0.015245623941276116,2660377.3584905663
21,katyperry,92,2000.0,170300000.0,715000.0,0.16,265100.0,1500000000.0,Unknown,0.004198473282442748,750000.0
